City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,Guánica,6,PR,1614750287,76,17.9716,-66.908,293.71,2.77
120,Aksu,95,CN,1614750287,49,41.1231,80.2644,281.72,1.65
121,Nioro,24,GM,1614750288,19,13.35,-15.75,297.39,2.98
122,Yelizovo,90,RU,1614750288,93,53.1873,158.3805,267.15,4.0
123,Kumano,0,JP,1614750288,49,34.3442,132.5894,282.15,3.6
124,Balkanabat,1,TM,1614750288,66,39.5108,54.3671,282.94,1.54
125,Pevek,1,RU,1614750288,86,69.7008,170.3133,240.14,1.05
126,Alice Springs,0,AU,1614750288,11,-23.7,133.8833,313.15,4.12
127,Bambous Virieux,75,MU,1614750288,70,-20.3428,57.7575,303.15,3.6
128,Voloshka,89,RU,1614750288,94,61.3314,40.0858,264.83,3.85
129,Grindavik,90,IS,1614750288,87,63.8424,-22.4338,279.15,4.63
130,Shitanjing,0,CN,1614750198,39,39.2342,106.3439,282.06,8.24
131,Hobart,75,AU,1614750289,51,-42.8794,147.3294,289.26,6.69
132,Maunabo,6,PR,1614750289,95,18.0072,-65.8993,295.93,1.34
133,San Patricio,1,US,1614750289,93,28.017,-97.5169,282.59,2.06
134,Udarnyy,86,RU,1614750289,96,54.3409,42.8611,267.3,5.21
135,La Ronge,75,CA,1614750289,86,55.1001,-105.2842,265.15,2.06
136,Aasiaat,100,GL,1614750290,83,68.7098,-52.8699,263.13,2.27
137,Caçu,100,BR,1614750290,96,-18.5567,-51.1308,293.0,3.59
138,Norman Wells,90,CA,1614750290,76,65.282,-126.8329,246.15,1.54
139,Sur,0,OM,1614750290,37,22.5667,59.5289,302.16,1.53
140,Darnah,0,LY,1614750290,57,32.767,22.6367,285.81,10.59
141,Salisbury,75,GB,1614750290,100,51.0693,-1.7957,278.15,1.54
142,Vardø,40,NO,1614750290,79,70.3705,31.1107,267.15,2.06
143,Kruisfontein,88,ZA,1614750291,92,-34.0033,24.7314,293.71,0.45
144,Mount Isa,31,AU,1614750291,14,-20.7333,139.5,310.15,6.17
145,Vestmannaeyjar,100,IS,1614750291,90,63.4427,-20.2734,279.5,11.33
146,Richards Bay,1,ZA,1614750291,77,-28.783,32.0377,296.69,2.27
147,Ola,100,RU,1614750291,90,59.5833,151.2833,257.77,3.85
148,Khromtau,100,KZ,1614750291,98,50.2503,58.4347,269.32,11.37
149,Takoradze,87,GH,1614750292,90,4.8845,-1.7554,298.96,2.89
150,Lodja,100,CD,1614750292,87,-3.4833,23.4333,296.57,1.34
151,Hong Kong,43,HK,1614750072,78,22.2855,114.1577,293.15,2.24
152,Klyuchi,96,RU,1614750292,89,52.2667,79.1667,262.95,5.26
153,Wankyi,98,GH,1614750292,98,7.7392,-2.1046,295.57,1.58
154,Clyde River,1,CA,1614750292,84,70.4692,-68.5914,247.15,2.57
155,Makungu,39,TZ,1614750292,77,-8.7333,35.2833,295.13,0.25
156,Bonavista,88,CA,1614750293,93,48.6499,-53.1147,267.59,3.6
157,Caranavi,100,BO,1614750293,97,-15.8167,-67.55,291.21,1.56
158,Ji’an,100,CN,1614750201,88,27.1172,114.9793,283.45,1.38
159,Ambilobe,49,MG,1614750293,70,-13.2,49.05,302.45,0.85
160,Atuona,9,PF,1614750293,74,-9.8,-139.0333,299.8,5.18
161,Kirakira,100,SB,1614750293,82,-10.4544,161.9205,300.14,3.48
162,Gravdal,75,NO,1614750294,80,68.1214,13.5031,274.15,14.92
163,Bredasdorp,6,ZA,1614750294,94,-34.5322,20.0403,290.15,2.66
164,Srednekolymsk,100,RU,1614750294,85,67.45,153.6833,242.72,2.41
165,Healdsburg,1,US,1614750294,76,38.6105,-122.8692,282.59,0.85
166,Shishou,56,CN,1614750294,54,29.7226,112.419,287.85,2.7
167,Barra do Garças,98,BR,1614750295,93,-15.89,-52.2567,294.25,0.88
168,Kyren,32,RU,1614750295,86,51.6828,102.1408,268.44,1.62
169,Codrington,58,AU,1614750295,55,-38.2667,141.9667,289.31,5.6
170,Belmonte,75,BR,1614750295,94,-15.8631,-38.8828,295.15,1.54
171,Coruripe,19,BR,1614750295,80,-10.1256,-36.1756,298.0,3.04
172,Khovd,63,MN,1614750296,50,48.0056,91.6419,277.01,5.74
173,Saint Paul Harbor,1,US,1614750296,74,57.79,-152.4072,272.15,4.12
174,Alofi,99,NU,1614750296,94,-19.0595,-169.9187,298.15,2.57
175,Klaksvík,75,FO,1614750296,100,62.2266,-6.589,279.15,1.54
176,Kaka,31,TM,1614750297,43,37.3482,59.6143,284.78,4.46
177,Ponta do Sol,45,PT,1614750297,64,32.6667,-17.1,285.93,1.34
178,Yellowknife,90,CA,1614750297,77,62.456,-114.3525,253.71,4.12
179,Lana,0,IT,1614750297,74,46.6124,11.1559,272.59,2.57
180,Raudeberg,97,NO,1614750297,95,61.9875,5.1352,278.15,5.18
181,Nazca,100,PE,1614750297,60,-14.8333,-74.95,297.03,1.05
182,Lata,0,PT,1614750298,93,40.1629,-8.3327,284.26,1.62
183,Novorudnyy,100,RU,1614750298,93,51.5026,58.1873,268.15,12.0
184,Halifax,99,CA,1614750122,71,44.6453,-63.5724,264.82,5.36
185,Hakkâri Province,90,TR,1614750298,100,37.5833,44.1667,270.15,1.54
186,Hermanus,0,ZA,1614750192,90,-34.4187,19.2345,290.37,2.33
187,Mareeba,100,AU,1614750298,58,-17.0,145.4333,302.59,8.75
188,Manta,75,EC,1614750021,94,-0.95,-80.7333,296.15,1.01
189,Marystown,87,CA,1614750298,93,47.1666,-55.1483,265.31,7.56
190,Padang,40,ID,1614750298,70,-0.9492,100.3543,303.15,3.09
191,Chontalpa,93,MX,1614750299,96,17.7,-93.5167,294.71,3.0
192,Maniitsoq,100,GL,1614750299,48,65.4167,-52.9,270.32,4.01
193,Skibbereen,75,IE,1614750299,93,51.55,-9.2667,277.15,2.57
194,Hamilton,1,US,1614750299,80,39.1834,-84.5333,274.26,2.06
195,Gouré,2,NE,1614750299,15,13.9835,10.2704,295.37,4.92
196,Øksfjord,75,NO,1614750300,86,70.2396,22.3479,270.93,0.51
197,Mar del Plata,4,AR,1614750300,68,-38.0023,-57.5575,294.82,2.24
198,Trenggalek,4,ID,1614750300,55,-8.05,111.7167,305.67,0.25
199,Kushiro,40,JP,1614750300,46,42.975,144.3747,269.15,4.63
200,Rosetta,40,EG,1614750300,54,31.4044,30.4164,287.15,5.14
201,Distrikt Brokopondo,99,SR,1614750300,90,4.75,-55.1667,296.71,2.26
202,Asău,4,RO,1614750300,61,46.4333,26.4,273.15,2.02
203,Venezuela,100,VE,1614750301,65,8.0,-66.0,297.36,7.37
204,Grand Gaube,2,MU,1614750301,63,-20.0064,57.6608,303.15,4.02
205,Lagoa,6,PT,1614750301,65,39.05,-27.9833,286.74,12.22
206,Vallenar,0,CL,1614750301,74,-28.5708,-70.7581,288.57,0.84
207,Iquique,0,CL,1614750206,68,-20.2208,-70.1431,295.15,2.06
208,Faya,0,SA,1614750301,44,18.3851,42.4509,289.15,2.57
209,Ritchie,0,ZA,1614750302,82,-29.038,24.6028,290.15,0.51
210,Emerald,62,AU,1614750303,15,-23.5333,148.1667,310.37,5.66
211,Ilulissat,100,GL,1614750304,43,69.2167,-51.1,271.15,8.75
212,Fare,70,PF,1614750305,73,-16.7,-151.0167,301.56,2.35
213,Jinka,9,ET,1614750305,39,5.65,36.65,299.45,1.93
214,Liwale,92,TZ,1614750306,94,-9.7667,37.9333,296.26,1.85
215,Isangel,95,VU,1614750306,83,-19.55,169.2667,300.02,2.95
216,Kavieng,100,PG,1614750306,76,-2.5744,150.7967,300.81,3.49
217,Lavrentiya,11,RU,1614750306,85,65.5833,-171.0,245.09,5.39
218,Bilibino,52,RU,1614750306,81,68.0546,166.4372,246.87,1.33
219,Hithadhoo,14,MV,1614750307,68,-0.6,73.0833,301.53,4.55
220,Bilma,0,NE,1614750307,18,18.6853,12.9164,290.09,5.66
221,Ca Mau,77,VN,1614750307,48,9.1769,105.15,305.26,7.65
222,Santa Catalina,20,PH,1614750307,70,9.3337,122.8637,303.15,4.12
223,Caravelas,31,BR,1614750308,92,-17.7125,-39.2481,296.52,1.22
224,La Suiza,0,CR,1614750308,60,9.8524,-83.6133,294.15,7.72
225,Alta Floresta,98,BR,1614750308,99,-9.8756,-56.0861,293.41,0.3
226,Inhambane,44,MZ,1614750308,85,-23.865,35.3833,298.95,6.16
227,Saldanha,0,ZA,1614750309,94,-33.0117,17.9442,290.15,1.54
228,Bay Roberts,74,CA,1614750103,92,47.5999,-53.2648,267.59,0.45
229,Conde,75,BR,1614750309,100,-7.2597,-34.9075,297.15,3.12
230,Pacific Grove,1,US,1614750014,81,36.6177,-121.9166,283.71,0.91
231,Sekoma,0,BW,1614750309,60,-24.4,23.8833,294.54,1.2
232,Dauphin,1,CA,1614750309,92,51.1494,-100.0502,260.15,1.54
233,Shelburne,67,CA,1614750309,74,44.0787,-80.2041,272.59,9.35
234,Sobolevo,57,RU,1614750309,97,54.4299,31.8996,272.18,5.53
235,Kautokeino,6,NO,1614750309,90,69.0125,23.0412,261.64,2.08
236,Bud,1,US,1614750310,59,39.447,-86.1758,273.71,3.36
237,Castro,99,BR,1614750310,95,-24.7911,-50.0119,290.26,2.19
238,Sulangan,4,PH,1614750310,69,11.1373,123.7228,300.66,4.5
239,Rio Grande,76,BR,1614750310,94,-32.035,-52.0986,296.48,4.49
240,Aykhal,34,RU,1614750310,79,66.0,111.5,240.46,1.62
241,San Cristobal,56,VE,1614750310,80,7.7669,-72.225,291.66,0.16
242,Ambad,0,IN,1614750311,23,19.6167,75.8,304.15,2.06
243,Pemangkat,18,ID,1614750247,79,1.1667,108.9667,301.71,6.0
244,Liberal,1,US,1614750311,37,37.0431,-100.921,274.15,4.63
245,Iqaluit,20,CA,1614750130,70,63.7506,-68.5145,248.15,10.8
246,Saint George,1,US,1614749896,14,37.1041,-113.5841,284.26,2.06
247,Lorengau,100,PG,1614750311,75,-2.0226,147.2712,301.25,5.26
248,Shache,24,CN,1614750311,43,38.4167,77.2406,283.12,0.15
249,Kalga,98,RU,1614750311,93,50.9251,118.898,260.96,1.59
250,Pachino,1,IT,1614750312,87,36.7186,15.0907,280.15,2.57
251,Fairbanks,90,US,1614750021,85,64.8378,-147.7164,258.15,2.06
252,Ugoofaaru,84,MV,1614750312,67,5.6667,73.0,301.44,4.91
253,Härnösand,75,SE,1614750313,93,62.6323,17.9379,277.59,2.06
254,Nurota,71,UZ,1614750313,43,40.5614,65.6886,284.15,3.09
255,Havelock,40,US,1614750313,57,34.8791,-76.9013,280.15,3.6
256,Ko Samui,40,TH,1614750135,66,9.5357,99.9357,304.15,6.17
257,Meulaboh,31,ID,1614750313,60,4.1363,96.1285,303.56,3.96
258,Ponyri,75,RU,1614750313,74,52.3186,36.3039,273.15,6.0
259,Souillac,75,MU,1614750313,70,-20.5167,57.5167,302.15,3.6
260,Pisco,90,PE,1614750314,88,-13.7,-76.2167,297.15,0.51
261,Gao,1,ML,1614750314,20,16.6362,1.637,297.19,5.36
262,Cidreira,97,BR,1614750314,88,-30.1811,-50.2056,296.16,0.51
263,Polessk,90,RU,1614750314,100,54.862,21.1028,274.15,1.0
264,Mount Gambier,90,AU,1614750315,45,-37.8333,140.7667,292.15,6.17
265,Yumen,0,CN,1614750315,37,40.2833,97.2,282.08,3.91
266,Tegul'det,42,RU,1614750315,91,57.3064,88.1667,258.14,1.88
267,Dom Pedrito,100,BR,1614750316,96,-30.9828,-54.6731,293.79,2.26
268,Zuwārah,16,LY,1614750316,77,32.9312,12.082,287.51,8.05
269,Okhotsk,100,RU,1614750316,88,59.3833,143.3,253.1,2.49
270,The Valley,75,AI,1614750316,78,18.217,-63.0578,298.15,6.17
271,Tuatapere,62,NZ,1614750316,76,-46.1333,167.6833,290.37,5.36
272,Dingle,12,PH,1614750317,57,10.9995,122.6711,303.0,6.29
273,Ribeira Grande,4,PT,1614750317,64,38.5167,-28.7,287.41,10.59
274,Poros,0,GR,1614750317,64,37.4994,23.4536,282.59,2.24
275,Ucluelet,99,CA,1614750049,84,48.9329,-125.5528,278.71,3.09
276,Coos Bay,1,US,1614750317,87,43.3665,-124.2179,280.15,1.84
277,Nyuksenitsa,100,RU,1614750318,91,60.4128,44.2397,266.31,4.87
278,Bojnourd,75,IR,1614750318,70,37.4747,57.329,278.15,3.09
279,Point Pleasant,1,US,1614750318,54,40.0832,-74.0682,273.15,3.09
280,Yarmouth,1,US,1614750318,33,41.7057,-70.2286,270.93,3.09
281,Praia,20,CV,1614750318,68,14.9215,-23.5087,293.15,5.14
282,Barela,0,IN,1614750318,31,23.1,80.05,299.15,2.06
283,College,90,US,1614750318,78,64.8569,-147.8028,258.15,2.06
284,Shimanovsk,100,RU,1614750319,95,52.0,127.7,264.27,4.73
285,Alacranes,20,CU,1614750319,94,22.7675,-81.5675,293.15,2.06
286,Vila Franca do Campo,20,PT,1614750319,67,37.7167,-25.4333,287.15,12.35
287,Oistins,20,BB,1614750319,61,13.0667,-59.5333,298.15,7.72
288,Linxia Chengguanzhen,0,CN,1614750319,45,35.6003,103.2064,281.68,2.09
289,Goderich,34,CA,1614750118,69,43.7501,-81.7165,273.15,6.69
290,Narsaq,90,GL,1614750320,31,60.9167,-46.05,279.15,19.03
291,Sakaiminato,40,JP,1614750320,39,35.55,133.2333,281.15,6.17
292,Hammerfest,75,NO,1614750320,74,70.6634,23.6821,270.15,6.69
293,Zakamensk,97,RU,1614750320,55,50.3741,103.2863,271.33,4.71
294,Nkayi,99,CG,1614750320,94,-4.1841,13.2884,296.93,0.43
295,Sakakah,0,SA,1614750320,47,29.9697,40.2064,287.15,5.66
296,Kiryat Gat,80,IL,1614750184,100,31.61,34.7642,285.37,2.24
297,Bac Lieu,6,VN,1614750320,58,9.285,105.7244,303.2,10.2
298,Praia da Vitória,20,PT,1614750320,76,38.7333,-27.0667,285.93,8.9
299,Fort Nelson,75,CA,1614750079,92,58.8053,-122.7002,260.15,2.06
300,Moscow,0,RU,1614749809,63,55.7522,37.6156,270.37,7.0
301,Sevierville,90,US,1614750321,87,35.8681,-83.5618,278.15,1.21
302,Werda,0,BW,1614750321,61,-25.2667,23.2833,294.71,2.13
303,Jalu,0,LY,1614750321,67,29.0331,21.5482,285.03,4.74
304,Abū Zabad,0,SD,1614750321,12,12.35,29.25,294.57,8.88
305,Cairns,100,AU,1614750292,58,-16.9167,145.7667,302.59,8.75
306,Zhigansk,73,RU,1614750321,83,66.7697,123.3711,241.39,5.49
307,Hobyo,7,SO,1614750322,68,5.3505,48.5268,301.04,8.6
308,Severo-Kuril'sk,100,RU,1614750322,95,50.6789,156.125,268.58,17.46
309,Tazmalt,95,DZ,1614750322,53,36.3868,4.3989,285.16,2.01
